AREA,BED,BATH,BUILT,DESCRIPTION,LOTSIZE,PRICE
1629.0,2.0,2.0,1889.0,"Welcome home! Charming & well kept, this 2 bedroom & 1.5 bath home is turnkey & ready for you to enjoy. Whether you’re looking to entertain or just want to order in, you’ll appreciate the recently remodeled, open kitchen featuring stainless appliances & quartz countertops.     Full bath off Master Bedroom was also stylishly updated so you won’t have to! Steel Kit one-car garage also has plenty of room for all your landscaping tools & equipment. Lush & level, the backyard is easy to maintain & perfect for pets, kids, gardening &, of course, more entertaining! Natural gas & Central Air upgrades truly round out this great opportunity to live within walking distance to West Haven’s beaches.     Use ShowingTime to schedule your visit today!",0.1599859392,224000.0
1278.0,3.0,2.0,1900.0,"This adorable cape has a lot to offer.  You start up by entering the home via the porch only to see this nice living room.  Master bedroom is on the first floor with a full bathroom. Upstairs has 2 bedrooms with a full bathroom.  Some features on this home:   - New 200 amp electrical service & panel/breakers installed 2020  - Ductless split AC installed 2020. Unit cools entire first floor  - Upstairs bath renovated 2020  - Washer/dryer 2019  - Energy Audit conducted 2019, new LED bulbs, Nest thermostats, blown-in cellulose insulation (entire house walls and attic crawlspaces) 2020  -Fenced back yard  -Garage",0.179981312,225000.0
1264.0,3.0,2.0,1988.0,"This 1264 sqft Colonial with its 3 bedrooms and 1.5 bathrooms is just a short stroll to Lake Pocotopaug! This year round property has plenty of space inside and a 10X20 deck for entertaining outside along with a fenced in yard. The new windows, carpets and fresh paint look great so come see it for yourself and imagine how you would decorate once you make it yours! Close to Rt 2, Rt 9 and Rt 66; so getting places is easy. Many things to do in town or in minutes travel to Main St Middletown, Glastonbury or Portland. Come join the Lake Pocotopaug community and enjoy the Lake life with access to the beach and boat launches where power boats are ok!",0.089990656,224900.0
2054.0,3.0,3.0,1960.0,"The perfect oversized ranch awaits you at 7 Northeast Drive! Step inside and find an open floor plan that greets you with a very generous size living room, fireplace, hardwood floors, recessed lighting and crown molding that leads to the updated eat-in kitchen. The Kitchen Features updated cabinets, new tile flooring, tile back splash, stainless steel appliances and it completely opens into the dining room with hardwood floors and a abundance of natural lighting. Enjoy summer entertaining in the main level family room with vaulted ceilings, skylights, and windows galore that include a gorgeous Palladian window that leads to the back deck overlooking the peaceful yard. This home features 3-4 bedrooms on the main level. The spacious master bedroom has vaulted ceilings, a built in window seat (with storage) overlooking the yard, 2 closets with a 2nd Palladian window, new split system, a full bathroom with a jacuzzi tub & new stand up shower. The 2nd full bathroom is completely remodeled with beautiful tile. Bedroom 2 has hardwood floors & a new split system, bedroom 3 has a separate entrance with a 1/2 bath, Bedroom 4 can be the perfect home office. The lower level is ready for finishing touches that features a 2nd fireplace. This professionally landscaped yard is .57 of a private acre, on a culdesac is partially fenced in with a deck & patio & generator. This home is full of updates and extremely well maintained!  Subject to probate approval",0.5699943872,370000.0
4198.0,5.0,3.0,1972.0,"Beautiful Colonial-3020 sqft. living space and 1178 sqft. in fully finished  basement. Kitchen has all newer appliances. 5 Bedrooms with large closets. First floor Master suite with full bathroom, slider to deck, walk in closet and a 2nd closet. Livingroom with fireplace. another 1st floor bedroom, full hallway bathroom and Hardwood floors throughout first floor. Upper floor has 3 large bedrooms, Full Bathroom, new windows and all new carpet. Three zone heating. The entire inside of house is freshly painted. The entire exterior of house is freshly painted. Basement  freshly painted with washer/ dryer area. Walk out through a 2 car garage and garage freshly painted. The third Bay is a storage. Beautiful large back yard with a Park setting. Move in Ready. Must see.     Please make all offers on MLS Standard Form Real Estate Contract.",0.9399891328,489999.0
3496.0,4.0,4.0,1948.0,"Sitting up high on a beautiful hill surrounded by a well-landscaped plot, enjoy stunning sunsets on the large two-tier deck off the kitchen overlooking a beautiful gunite pool and patio; Fantastic property for entertaining!! This 4-bedroom, 3.5-bath colonial home with a small horse barn, 1 and a half stalls with two turn-out paddocks, and fully fenced-in yard offers the country living feel with the benefits of living less than two miles from Southport center. This charming home is filled with character and hardwood floors throughout. The Kitchen looks into a warm and inviting Family Room with a new vaulted ceiling and exposed beams. This classic Ct home offers a Formal Dining Room with built-in cupboards, three wood-burning fireplaces, sunporch, a large Formal Living Room, and a home office. The second level hosts a beautiful Primary Bedroom with en-suite Primary Bathroom and a walk-up attic. Three additional bedrooms and shared hall bathroom complete this level. Finished Lower Level with wood burning fireplace, bathroom, workshop, and laundry. Two car attached garage. Enjoy a quick walk to the local Market, Wine shop, Cleaners, Nursery, and soon-to-be Ice Cream shop!  Come see this Gem!",1.5599834304,1125000.0
2879.0,4.0,3.0,1968.0,"Space for everyone in this 4 bedroom 2.5 bath split level! Hardwood floors on main and bedroom level. Bright sunny family room and sunroom overlooking fully fenced back yard. Eat-in kitchen with stainless appliances. 4 good size bedrooms with ample closet space. MBR with one walk in closet and one standard closet, full bath with shower. Access to backyard from kitchen, laundry room and sunroom. Unfinished basement great for storage. 4 levels all together. Backyard patio with gas grill connected to gas line.  Great location with neighborhood playground, park and basketball court. Close to shops, too!",0.7099849536,334000.0
1922.0,4.0,3.0,1974.0,Raised ranch with newly renovated kitchen and bathrooms. Open floor plan and brand new appliances.,0.91999376,345000.0
1921.0,4.0,3.0,1977.0,"Ever wanted a Colonial without the colonial price or size! This is it! Walk into this 4 bedroom Colonial and immediately fall in love. The first floor features an open concept floor plan and a kitchen that will check all your boxes! Double oven, gorgeous copper farm sink, island cooktop and a step away from the full house length deck overlooking the hills! The privacy at this home is everything you have been looking for. It doesn't stop there. Off the dining room set into the wrap around deck is a four season sunroom with brand new flooring and wall to wall sliding glass doors! A place to settle in for the night with the family and enjoy a movie and a sunset. First floor laundry rounds out the main area. Upstairs you will find 4 perfect sized bedrooms- a bathroom off the master and a newly updated bathroom in the hall. Come check out this home and everything it has to offer. Want to live in an amazing commuter location- this Southern New Milford spot is close to all shopping- Litchfield Crossing and Federal Road- as well as a short ride to Route 84 if heading east or west! Schedule your showing today. Showings start Thursday morning. More pictures and floor plans to come.",0.9799798784,429000.0
7560.0,5.0,7.0,2007.0,"One of Ridgefield's most admired homes, custom built with absolutely no expense spared. Stunning Stone and Clapboard New England Colonial with exceptional architectural details throughout, beautifully sited on 1.48 park-like acres. The heart of this home features an updated gourmet Kitchen with Dacor double ovens, Viking cook top and Sub Zero Refrigerator. Gorgeous Taj Mahal Quartz counters and island with Tumbled Limestone back splash. Stylish Living Room with propane fireplace and spacious Dining Room with large Butler's pantry also with quartz and tumbled marble. Handsome Cherry paneled Library and sun filled Family Room with fireplace and built-in cabinets and desk. The Upper level features a large Master Suite with custom marble bath and generous walk-in closet. Three Bedrooms are en suite; and two bedrooms share a lovely Jack n Jill Bathroom. Large, custom Laundry Room and over sized Bonus Room round out the second floor. Other convenient features include front and rear staircases, mud room with built-ins, and large pantry and utility closets. The finished Lower Level offers a second Family Room, Computer desk Stations, Game Room and fabulous temperature controlled Wine Cellar. New automatic whole house Generator and Rain Bird irrigation system are some of the special features. Close to all town with shopping, great restaurants, amazing entertainment venues and schools. Excellent NYC commute. This is one home not to be missed.",1.4799789824,1445000.0
